q,average_precision,precision_at_10,ndcg_at_10,mean_reciprocal_rank
101,0.5435199541151559,0.8,0.41736422054459765,0.5435199541151559
102,0.24809684378345506,0.6,0.6933955844167888,0.24809684378345506
103,0.11754363625447105,0.0,4.543559338088346,0.11754363625447105
104,0.17808046222932264,0.3,0.35292137991871103,0.17808046222932264
105,0.5281944243791252,0.9,0.3255678683051821,0.5281944243791252
106,0.020052516231420806,0.0,-0.20552310189409895,0.020052516231420806
107,0.18116311421020978,0.1,0.28335200341705885,0.18116311421020978
108,0.5713148413237407,1.0,0.6063385377994998,0.5713148413237407
109,0.022209487142697767,0.0,-13.92245141023106,0.022209487142697767
110,0.24464919318516343,0.5,0.5368038582275283,0.24464919318516337
111,0.7674683137992231,0.9,0.12441270816929739,0.767468313799223
112,0.019476159353070188,0.1,1.0,0.019476159353070188
113,0.048310933022163716,0.0,0.0,0.048310933022163716
114,0.20030655531846622,0.2,0.15708242032119335,0.20030655531846622
115,0.03771695938355786,0.0,0.0,0.03771695938355786
116,0.7739430708935572,0.7,0.24261399807086997,0.7739430708935572
117,0.5852817837914491,0.7,0.24558448670201413,0.5852817837914491
118,0.4080522092495216,0.5,0.34279879454029255,0.40805220924952157
119,0.3019951840788876,0.3,0.1665837712240208,0.3019951840788876
120,0.1597937606201471,0.1,0.523797359987076,0.15979376062014705
121,0.5381438341245951,0.9,0.4550161118049039,0.5381438341245951
122,0.06579006878483916,0.2,0.8972606448243431,0.06579006878483916
123,0.539249487968234,0.4,0.20191077916018002,0.5392494879682339
124,0.27450041126026653,0.4,0.09964805698730693,0.27450041126026653
125,0.23234591573679253,0.2,0.23678145892797212,0.23234591573679253
126,0.006530395160390479,0.0,,0.006530395160390479
127,0.47724314785521954,0.4,0.2981509003503898,0.47724314785521954
128,0.27822549541216945,0.3,0.22678127539299778,0.27822549541216945
129,0.09066616945404339,0.2,0.12328418546968814,0.09066616945404339
130,0.7957640810187276,0.8,0.2656334538726185,0.7957640810187276
131,0.015507684285739643,0.0,0.0,0.015507684285739644
132,0.1811575520903088,0.4,0.3965830167964795,0.1811575520903088
133,0.6266856899167673,1.0,0.34385115089676577,0.6266856899167673
134,0.062244582330557734,0.1,0.5875199988518065,0.062244582330557734
135,0.021146185873032665,0.0,0.0,0.02114618587303267
136,0.0835848105825944,0.1,0.05602593410603548,0.0835848105825944
137,0.6492782245808492,1.0,0.3719036670720127,0.6492782245808493
138,0.10205433653085606,0.2,0.7632266748265616,0.10205433653085606
139,0.12737239980222667,0.2,0.3506573290865781,0.12737239980222664
140,0.030127812560193184,0.1,0.5075039205823233,0.030127812560193184
141,0.159760408141998,0.0,0.0,0.159760408141998
142,0.30326493086566325,0.5,0.27756149137840747,0.30326493086566325
143,0.3858730999855459,0.7,0.5464668434527764,0.3858730999855459
144,0.39883931392231564,0.5,0.4351764264164929,0.39883931392231553
145,0.4184478204392016,0.7,0.3134605216550604,0.4184478204392016
146,0.1349102862768814,0.2,0.6674694828107057,0.1349102862768814
147,0.7156924807005596,0.9,0.3400229538481128,0.7156924807005596
148,0.5414213580748022,0.8,0.35280022949855094,0.5414213580748022
149,0.31906679589977116,0.8,0.5834152028483499,0.31906679589977116
150,0.009841047812599535,0.0,-inf,0.009841047812599535
