q,average_precision,precision_at_10,ndcg_at_10,mean_reciprocal_rank
101,0.6195928892860789,0.9,0.30551409196426454,0.6195928892860789
102,0.38597797520781413,1.0,0.6172195551951133,0.38597797520781413
103,0.2586810762316691,0.5,0.5995519995542733,0.2586810762316691
104,0.11353309582770048,0.1,0.16470206866584544,0.11353309582770046
105,0.4921675686332409,0.5,0.13711003936535346,0.4921675686332409
106,0.04572498697261932,0.0,0.0,0.04572498697261933
107,0.12542211775625747,0.1,0.12290959244427298,0.12542211775625747
108,0.6504042906866747,1.0,0.6006499222722624,0.6504042906866746
109,0.03732178504460383,0.2,0.7956964326893409,0.03732178504460383
110,0.29483920036515915,0.4,0.1985400468669711,0.2948392003651591
111,0.7828876671143554,0.9,0.13965668519787702,0.7828876671143554
112,0.008875351261187318,0.0,0.0,0.008875351261187318
113,0.027991177964991634,0.0,0.0,0.027991177964991634
114,0.08731325949175964,0.2,0.4155600977918553,0.08731325949175964
115,0.02442327079160682,0.0,0.0,0.02442327079160682
116,0.7972195335613693,0.9,0.1993731236007018,0.7972195335613693
117,0.6021516551592846,0.7,0.3168012702412434,0.6021516551592846
118,0.40831642385237593,0.5,0.3001119647448352,0.40831642385237593
119,0.3198239381345947,0.3,0.1357303055662128,0.3198239381345948
120,0.09469023663249104,0.0,-0.4200924399366663,0.09469023663249104
121,0.5656766425830919,0.9,0.4658920985870785,0.5656766425830919
122,0.07924539352993341,0.1,0.7454522157450462,0.07924539352993341
123,0.5606779673864769,0.5,0.10906392284995492,0.5606779673864769
124,0.233196814345448,0.2,0.02385506747435888,0.233196814345448
125,0.21228764808150657,0.3,0.14017895163778035,0.21228764808150655
126,0.0004979973409520478,0.0,,0.0004979973409520478
127,0.5310350497435803,0.6,0.33356994562064135,0.5310350497435803
128,0.3192740383569958,0.5,0.2930513097363309,0.3192740383569958
129,0.21471079970819015,0.2,0.13814219832613292,0.21471079970819015
130,0.8246458039002895,1.0,0.16012248588614972,0.8246458039002894
131,0.010642612559633054,0.0,0.0,0.010642612559633054
132,0.17142040196023983,0.1,0.10967261303344772,0.17142040196023983
133,0.46226632649582544,0.4,0.15687164886445382,0.4622663264958254
134,0.1334321423434466,0.4,1.0,0.1334321423434466
135,0.03814298213916312,0.1,0.4690519971047256,0.03814298213916313
136,0.2209034001587139,0.4,0.3336512044678892,0.22090340015871388
137,0.5692594858697837,0.7,0.3162251466326741,0.5692594858697837
138,0.2196861212972676,0.7,0.9465865744351248,0.2196861212972676
139,0.06418612630123324,0.0,0.0,0.06418612630123324
140,0.06901590040361136,0.2,0.8141773204669948,0.06901590040361136
141,0.19889770471937285,0.3,0.1535637294119126,0.19889770471937285
142,0.028564926857759187,0.0,0.0,0.028564926857759187
143,0.20166475735354977,0.1,0.20776335646177102,0.20166475735354977
144,0.3282430420615902,0.3,0.08222522905132669,0.3282430420615902
145,0.42565499237392274,0.5,0.1993713560296521,0.42565499237392274
146,0.11039842984458613,0.2,0.6392991808723525,0.11039842984458613
147,0.6273588582399532,0.8,0.2100165454516514,0.6273588582399532
148,0.48553741863003164,0.6,0.2045737039275824,0.48553741863003164
149,0.29888478304812827,0.3,0.19593522801863358,0.29888478304812827
150,0.02844931269874082,0.0,0.0,0.02844931269874082
